city_code,city_name,country_code,country_name
LCG,A Coru�a,ES,Spain
LDC,Linea de la Concepcion,ES,Spain
LDM,Lloret de Mar,ES,Spain
LEB,Lebrija,ES,Spain
LEI,Leiria,PT,Portugal
LEN,Le�n,ES,Spain
LER,Lleida,ES,Spain
LGS,Lagos,PT,Portugal
LIN,Linares,ES,Spain
LIO,Lisboa Oeste,PT,Portugal
LIS,Lisboa,PT,Portugal
LLO,False 5,ES,Spain
LNG,Langreo,ES,Spain
LNH,Lourinh�,PT,Portugal
LOE,Loeches,ES,Spain
LOR,Lorca,ES,Spain
LPA,Las Palmas de Gran Canaria,ES,Spain
LPE,Lepe,ES,Spain
LUC,Lucena,ES,Spain
LUG,Lugo,ES,Spain
MAD,Madrid,ES,Spain
MAL,M�laga,ES,Spain
MAO,Mahon,ES,Spain
MAS,Masnou,ES,Spain
MAT,Matar�,ES,Spain
MAZ,Mazarr�n,ES,Spain
MBA,Marbella,ES,Spain
MCD,Montcada,ES,Spain
MDC,Medina del Campo,ES,Spain
MEJ,Mejorada del Campo,ES,Spain
MEL,Melilla,ES,Spain
MER,Merida,ES,Spain
MFR,Mafra,PT,Portugal
MGP,Magaluf + Palma Nova,ES,Spain
MJO,Montijo,PT,Portugal
MLG,Malgrat de Mar - Santa Susanna,ES,Spain
MLJ,Madrilejos,ES,Spain
MLV,Malveira,PT,Portugal
MMN,Montemor-o-Novo,PT,Portugal
MNC,Manacor,ES,Spain
MNR,Manresa,ES,Spain
MNZ,Manzanares,ES,Spain
MON,Montserrat,ES,Spain
MOR,Moron de la Frontera,ES,Spain
MOS,M�stoles - Alcorc�n,ES,Spain
MOT,Motril,ES,Spain
MRE,Mieres,ES,Spain
MRT,Martos,ES,Spain
MRX,Montcada i Reixach,ES,Spain
MSE,Molina de Segura,ES,Spain
MSP,Maspalomas,ES,Spain
MTQ,Montequinto,ES,Spain
MUR,Murcia,ES,Spain
MZN,Monzon,ES,Spain
NOM,Madrid Norte,ES,Spain
NRJ,Nerja,ES,Spain
NVA,Nueva Andalucia,ES,Spain
NVL,Novelda,ES,Spain
OBA,O Barco de Valdeorras,ES,Spain
OCA,Oca�a,ES,Spain
ODB,C�rdoba,ES,Spain
ODO,Villaviciosa de Od�n,ES,Spain
OLH,Olh�o,PT,Portugal
OLI,Olias del Rey,ES,Spain
OLV,Oliva,ES,Spain
OND,Onda,ES,Spain
OPE,Porto Leste,PT,Portugal
OPO,Porto,PT,Portugal
ORI,Orihuela,ES,Spain
ORO,Oropesa del Mar,ES,Spain
OUR,Ourense,ES,Spain
OVD,Oviedo,ES,Spain
PAL,Palma,ES,Spain
PAS,Picasent -Alcacer - Silla,ES,Spain
PCR,Puerto de la Cruz,ES,Spain
PDA,Playa de Aro,ES,Spain
PDL,Ponta Delgada,PT,Portugal
PDR,Puerto del Rosario,ES,Spain
PDS,Puerto de Sagunto,ES,Spain
PET,Petrer,ES,Spain
PGD,Praia Grande,PT,Portugal
PHN,Pinhal Novo,PT,Portugal
PIN,Parla - Pinto,ES,Spain
PLA,Plasencia,ES,Spain
PLC,Palencia,ES,Spain
PLS,Pilas - Hinojos,ES,Spain
PMB,Pombal,PT,Portugal
PMV,Parets y Mollet de Valles,ES,Spain
PNA,Pamplona,ES,Spain
PNF,Penafiel,PT,Portugal
PNI,Peniscola,ES,Spain
PNT,Puenteareas,ES,Spain
PON,Ponferrada,ES,Spain
POR,Porrino,ES,Spain
POT,Portim�o,PT,Portugal
PRC,Paracuellos del Jarama,ES,Spain
PRM,Puerto Rico - Mogan,ES,Spain
PSL,Can Pastilla,ES,Spain
PTA,Portalegre,PT,Portugal
PTG,Puente Genil,ES,Spain
PTS,Ponte de Sor,PT,Portugal
PTV,Pontevedra,ES,Spain
PUM,Punta Umbria,ES,Spain
PVZ,P�voa de Varzim,PT,Portugal
PYV,Los Palacios y Villafranca,ES,Spain
QDC,Quinta do Conde,PT,Portugal
QSA,Sabadell,ES,Spain
QTR,Quarteira,PT,Portugal
QUO,Quintanar de la Orden,ES,Spain
RAR,Rivas - Arganda,ES,Spain
REA,Puerto Real,ES,Spain
REN,Renter�a,ES,Spain
REQ,Requena,ES,Spain
REU,Reus,ES,Spain
REY,Molins de Rei - Sant Vicenç del horts,ES,Spain
RGS,Burgos,ES,Spain
RIV,Rincon de la Victoria,ES,Spain
RJL,Logro�o,ES,Spain
RMR,Rio Maior,PT,Portugal
RON,Ronda,ES,Spain
ROT,Rota,ES,Spain
RQT,Roquetas de Mar,ES,Spain
RVE,Riveira,ES,Spain
SAB,San Antonio de Benageber,ES,Spain
SAD,Martorell - Sant Andreu de la Barca,ES,Spain
SAG,San Agustin de Guadalix,ES,Spain
SBL,Sant Boi - El Prat de Llobregat,ES,Spain
SBN,San Luis de Sabinillas,ES,Spain
SCL,Sant Celoni,ES,Spain
SCQ,Santiago de Compostela,ES,Spain
SDA,Sada,ES,Spain
SEG,Segovia,ES,Spain
SET,Set�bal,PT,Portugal
SEV,Sevilla,ES,Spain
SGP,San Roque - Guadacorte - Palmones,ES,Spain
SIG,Sitges,ES,Spain
SIT,Sintra,PT,Portugal
SJJ,Sanxenxo,ES,Spain
SJM,S�o Jo�o da Madeira,PT,Portugal
SLC,Sanl�car de Barrameda,ES,Spain
SLM,Salamanca,ES,Spain
SLO,Salou,ES,Spain
SMF,Santa Maria da Feira,PT,Portugal
SMV,San Mart�n de Valdeiglesias,ES,Spain
SNE,Sierra Nevada,ES,Spain
SNJ,San Javier,ES,Spain
SNP,Santa Pola,ES,Spain
SNS,Sonseca,ES,Spain
SOM,Madrid Sur,ES,Spain
SOR,Soria,ES,Spain
SPP,San Pedro del Pinatar,ES,Spain
SSB,Sesimbra,PT,Portugal
STD,Santander,ES,Spain
STP,Santa Pon�a,ES,Spain
STR,Santar�m,PT,Portugal
STS,Santo Tirso,PT,Portugal
TBC,Torremolinos - Benalmadena - Churriana,ES,Spain
TCC,Tres Cantos - Colmenar,ES,Spain
TDC,Torre del Campo - Torredonjimeno,ES,Spain
TDM,Torre del Mar,ES,Spain
TEL,Telde,ES,Spain
TER,Teruel,ES,Spain
TFN,Tenerife,ES,Spain
TGN,Tarragona,ES,Spain
TLD,Toledo,ES,Spain
TLV,Talavera,ES,Spain
TMR,Tomar,PT,Portugal
TNS,Entroncamento,PT,Portugal
TOM,Tomelloso,ES,Spain
TRA,Trapagaran,ES,Spain
TRC,Tarancon,ES,Spain
TRD,Torredembarra,ES,Spain
TRF,Tarifa,ES,Spain
TRJ,Torrevieja,ES,Spain
TRL,Torrelavega,ES,Spain
TRR,Torrente,ES,Spain
TRS,Terrassa,ES,Spain
TRT,Tortosa,ES,Spain
TRV,Torres Vedras,PT,Portugal
TUD,Tudela,ES,Spain
TUI,Tuy,ES,Spain
UBD,Ubeda,ES,Spain
UBR,Ubrique,ES,Spain
UER,Puertollano,ES,Spain
ULT,ULT,ES,Spain
URD,Castro Urdiales,ES,Spain
UTE,Utebo,ES,Spain
UTR,Utrera,ES,Spain
UXO,Vall de uxo,ES,Spain
VAC,Valdemoro + Ciempozuelos,ES,Spain
VAL,Valencia,ES,Spain
VCT,Viana do Castelo,PT,Portugal
VDS,Villarejo de Salvanes,ES,Spain
VEC,Vecindario,ES,Spain
VEG,San Martin de la Vega,ES,Spain
VEL,Velez-Malaga,ES,Spain
VEN,El Vendrell,ES,Spain
VFX,Vila Franca de Xira,PT,Portugal
VIG,Vigo,ES,Spain
VIK,Vic,ES,Spain
VIL,Villareal,ES,Spain
VIS,Viseu,PT,Portugal
VIT,Vitoria,ES,Spain
VJO,Villajoyosa,ES,Spain
VLB,La Pobla de Vallbona,ES,Spain
VLC,Vila do Conde,PT,Portugal
